season,team,number,player,year,position,gp,gs,goals,assists,points
2024-25,Calgary,21,Felipe Raed Di Bari,Jr,D,10,6.0,0,0,0
2024-25,Calgary,2,Doohyeon Kim,Sr,D,8,1.0,0,0,0
2024-25,Calgary,25,Arash Mahjor,Jr,D,5,4.0,0,0,0
2024-25,Calgary,18,Josral Frederick,So,F,3,0.0,1,1,2
2024-25,Calgary,8,Nahum Tsegai,Sr,D,3,3.0,0,0,0
2024-25,Calgary,4,James Welsh,So,D,3,1.0,0,0,0
2024-25,Calgary,11,Isaiah Zarate,Fr,M,2,0.0,0,0,0
2024-25,Calgary,27,Oliver Allen,So,GK,1,0.0,0,0,0
2024-25,Calgary,20,Nicholas Carr,Sr,D,1,0.0,0,0,0
2024-25,Victoria,11,Mattheus Achadinha,,D,15,15.0,2,3,5
2024-25,Victoria,14,Ole Cameron,,M,15,15.0,2,1,3
2024-25,Victoria,18,Alex Moody,,D,15,15.0,2,1,3
2024-25,Victoria,7,Yassin Guitouni,,M,14,8.0,0,1,1
2024-25,Victoria,19,Harry Ritter West,,F,14,14.0,1,1,2
2024-25,Victoria,4,Javier Sagaste,,M,14,14.0,2,1,3
2024-25,Victoria,5,Archie Tugwell,,D,14,14.0,1,0,1
2024-25,Victoria,2,Fin Tugwell,,D,14,14.0,1,1,2
2024-25,Victoria,1,Callum Weir,,GK,14,14.0,0,0,0
2024-25,Victoria,20,Evan Larson,,F,13,7.0,1,1,2
2024-25,Victoria,17,Matthew Pearse,,M,13,13.0,6,3,9
2024-25,Victoria,16,Matteo Hilton,,M,11,3.0,1,0,1
2024-25,Victoria,8,Connor Legge,,M,11,11.0,0,1,1
